bootstrap_iteration,Aryna Sabalenka,Elena Rybakina,Iga Swiatek,Coco Gauff,Jessica Pegula,Amanda Anisimova,Elina Svitolina,Mirra Andreeva,Karolina Muchova,Belinda Bencic,Linda Noskova,Jasmine Paolini,Ekaterina Alexandrova,Marta Kostyuk,Naomi Osaka,Iva Jovic,Sorana Cirstea,Madison Keys,Clara Tauson,Elise Mertens,Leylah Fernandez,Diana Shnaider,Anna Kalinskaya,Emma Navarro,Liudmila Samsonova,Marie Bouzkova,Anastasia Potapova,Jelena Ostapenko,Emma Raducanu,Barbora Krejcikova,Marketa Vondrousova,Maria Sakkari,Daria Kasatkina,Qinwen Zheng,Donna Vekic,Magda Linette,Veronika Kudermetova,Sofia Kenin
21,0.037817570638456054,0.031244288347683703,0.02455801243736637,0.015477053985646557,0.01819264735072272,0.024323896120254613,0.018653654556366348,0.011874083591009792,0.021092826902854127,0.031085716675306727,0.023748194467364103,0.015997036073357365,0.026900731041440515,0.01358533746191628,0.01686901959377219,0.015378306428282425,0.027602955614696785,0.019888188719985714,0.025187091416785573,0.012546409913714748,0.022388199008883485,0.017873065847459554,0.020228508879896707,0.01370929306709237,0.02840236411164783,0.00903665511584523,0.008750288956447817,0.0220585804175572,0.01687559093021702,0.010128941817444032,0.014323937072834709,0.008163279413984781,0.006358818536611048,0.025263232878392734,0.019144730996889982,0.025920152523788216,0.01180741856664341,0.02326812204995595
22,0.030456725862036356,0.028609854458462237,0.023153696072180912,0.013052895947868499,0.025040500465472706,0.01738765272220165,0.017216772539306053,0.014656846414600851,0.022492575581918084,0.032552707088066464,0.02470621811376589,0.020394272563540733,0.023207225022533397,0.013703999343037955,0.017470191823222,0.022388528682637295,0.026644840428882082,0.01617312748230548,0.02306927548154912,0.014501739676378505,0.02712658818335699,0.013094084303173612,0.020791662211862846,0.009970750569741005,0.023650457943705492,0.012138234157125099,0.01218406151726266,0.019231439136601525,0.019146181688313706,0.010826266953924135,0.015291652663454555,0.01590618015357667,0.003599540086730604,0.023688656886799053,0.014557123989323123,0.024039549599092273,0.014194663370631454,0.02567160265004412
23,0.03717121669093855,0.028377674297396703,0.023444319644414905,0.018877909069597184,0.024153464032739186,0.019828821586267493,0.01860256481363921,0.013683511062074083,0.018049203388710452,0.029732397438972925,0.02390157167382357,0.019563869596842545,0.01576300380493898,0.013206147862179435,0.018824980507253807,0.015197262950998143,0.028289437750570627,0.027134682266922266,0.023089616151074303,0.018068918252169282,0.0247234706265311,0.019345037895073983,0.019354045179314577,0.019721633236589008,0.025047820247274373,0.010626870029196059,0.01733967120214516,0.019579939397051473,0.017994939694601673,0.014646334965727427,0.014024550924685407,0.013386463896440739,0.008679833636418978,0.019368076021946835,0.012104206474809929,0.02494806443937886,0.01215745398676189,0.026078119471169062
24,0.03144240573459999,0.029083087808036655,0.024645166721162574,0.019930199331073574,0.019957898702405573,0.02272283843112777,0.020029541850292657,0.015045926590961453,0.02474114362941914,0.027799812702271366,0.02233864542799079,0.016449605803800376,0.021368704168238564,0.014853927071620525,0.017551558619914587,0.019029649025302853,0.025252787510824753,0.014890685273953687,0.024544653903958883,0.01519188139403486,0.024686145928808755,0.01795154009512371,0.024018354680117524,0.007249702434868621,0.019509388156415636,0.009958444228348316,0.010273604359760838,0.024764005157934383,0.013240577326744885,0.013114051454644046,0.01853384283035935,0.014482910955711721,0.010016827842544563,0.025755564586592245,0.015150046036219552,0.022324594387168047,0.014681206739827776,0.026426234369613992
25,0.025565464581439604,0.030989149758428716,0.025331931536731776,0.015472906746463037,0.02731838824714056,0.018741262411565183,0.020033587234005654,0.014880874500323285,0.019837341697658727,0.03117084623997076,0.024172001411141866,0.016780857138515175,0.017048115682133717,0.010639656422686905,0.014731690378793506,0.013271161615440922,0.021849899659750743,0.01696626924036071,0.01733424452688005,0.015864444213992433,0.023410894953442136,0.014948221382240699,0.022251005428450717,0.007569968102378651,0.024395475473808558,0.012132239913903393,0.010055236819709303,0.0275712281632476,0.019314005571881693,0.011733755005723821,0.011713713915656994,0.013460112775063484,0.007753784674549858,0.02371959628346542,0.01980081030868629,0.025423949546918723,0.01451737361610871,0.022665601675339958
26,0.03355559637217676,0.026724891428385533,0.024012303852083028,0.019134388094572862,0.026743834492409767,0.024358387261242523,0.019483733534312778,0.01113981611337712,0.021232676075263357,0.03162682139593046,0.023051835170293914,0.016714430721396875,0.01435490487089544,0.013738185163824485,0.014182020747125247,0.011562554657050559,0.02261583905415369,0.021082473608441014,0.022183266092392486,0.011551134703196119,0.02155104113916698,0.015206956970690794,0.025800217931111927,0.015558082185692166,0.022701268283102784,0.012208390880177855,0.008766355421998509,0.019439247811909637,0.014680175081211052,0.0127793570862003,0.012650033659547397,0.012562734434380586,0.008063683595832642,0.029861395089183417,0.016490598197396716,0.025013625814004743,0.01480218580780988,0.022226697229903728
27,0.03211960092454683,0.029184251410631856,0.024746435225953902,0.017453951207716496,0.02644930153805191,0.01961046462582619,0.017191428563472895,0.013373582856712918,0.02287362412180806,0.029018657659034133,0.028656443739266853,0.023550972318352927,0.0236933687291466,0.015460158891323557,0.016436482444217023,0.016779350508010125,0.029124270884934952,0.021634565537850925,0.02305745299369793,0.012016838205118953,0.022883896350032497,0.013737651847937193,0.02186812134765318,0.017121408838824147,0.021285858317052597,0.014938018738677927,0.008007037686685032,0.024552202846383684,0.019354401230406312,0.012255781020908034,0.010307577009778818,0.012477018600744957,0.004476202164921617,0.019780478857877162,0.01797343947212667,0.023659120307374066,0.019062345370302984,0.024140757669990284
28,0.033605568283638476,0.029846786478261722,0.02574742529959158,0.017470809036764703,0.02084215203524791,0.021458858024442442,0.016520484260289705,0.014943200323680492,0.027077828255221082,0.034022164235537694,0.020899024175237507,0.02194151463258203,0.020922972115958994,0.012816068671952986,0.018901975998029667,0.017168185719924456,0.021383263339745363,0.024851076932861055,0.020250506116003063,0.01246303713858993,0.025868834382466243,0.011148216943535646,0.02357329707566667,0.015855837714274873,0.021863177129313637,0.009681521855679002,0.014289307564718025,0.02012940327329163,0.012037062187653446,0.011301107589618012,0.01028324170494519,0.012618700642519354,0.005793805142903086,0.02294535976366181,0.016750419935216036,0.02111495897095307,0.014029221331089112,0.0229305710269191
29,0.030422826664151397,0.02624784242297129,0.02476854530790435,0.01747387606408513,0.026361572444820586,0.021884208888714365,0.02012715375843701,0.015291059808772883,0.0215141883199805,0.03129900119951642,0.023834511776259726,0.016382660424792386,0.01749487776181063,0.016158122142746097,0.014501683052294014,0.012884262780522227,0.02605824284044215,0.02744459917712879,0.02236797798923223,0.014965627945009323,0.02201622922532217,0.015551643086478748,0.02540999457514928,0.018808307574127922,0.023485090461924433,0.010506752111991905,0.009123204623243415,0.025516306270806532,0.018375771217957585,0.011228210774596157,0.015487465411684786,0.014085768780742743,0.00967021409743966,0.023401441638119802,0.017293755293239902,0.023584254526804432,0.016333548311551396,0.023818223381191463
30,0.035339366812806486,0.030326980249106378,0.023880793354929746,0.018057036778796283,0.027069497593454863,0.022534825382556387,0.01868083609558958,0.012699494754507304,0.023858255573407525,0.03407751974656749,0.0197289180084034,0.019921738135239078,0.022035855520427302,0.0133276799017672,0.02010204344725803,0.013243070563769463,0.0257015585545563,0.021683684140870737,0.014547247532784361,0.009248188858193805,0.023368046261742034,0.020263866945323058,0.017631962548283968,0.011972814441896365,0.020168381410761316,0.0021956679963273137,0.009829767687641275,0.028767758956141816,0.019078805433772304,0.013235448780517158,0.014445584933252993,0.014918101818548583,0.004440239232483413,0.022337454432791146,0.018146124671643737,0.022716088927345713,0.020755899558731482,0.02738454741470582
