bootstrap_iteration,0-0,0-15,0-30,0-40,15-0,15-15,15-30,15-40,30-0,30-15,30-30,30-40,40-0,40-15,40-30,40-40,AD-40,40-AD
35,0.6648709448259531,0.4894412259390768,0.2814064997336175,0.09710391822827939,0.7977818080357143,0.6504132574656311,0.4280910501810657,0.19006238859180036,0.9058023353798001,0.8114916912940264,0.6309791055085477,0.3439034205231388,0.9716024340770791,0.9359340310815096,0.8424704206157467,0.6271503365744203,0.836797385620915,0.34676573426573426
36,0.6600259852750108,0.48945887346034966,0.2831664580725907,0.10111272375423319,0.791975027182491,0.649919431475437,0.4335982566337649,0.19094178467071252,0.8993047084654794,0.7985983566940551,0.6210287013356067,0.3422920488077199,0.9717039163420136,0.9324819825515236,0.8324645857607162,0.6164882463304271,0.8308574407088871,0.33837572889377165
37,0.6659765763634212,0.48860011259148056,0.2853640336851082,0.10046105314244115,0.7988282604173889,0.6491636847798952,0.4275602311838431,0.19654017857142858,0.9064198268139744,0.8094083414161009,0.6244625217896572,0.34945547725816783,0.9749475995608344,0.9356404437720626,0.8371890547263682,0.6182044230117169,0.8344708766814658,0.33315867609815736
38,0.6644317539517025,0.48712278276894727,0.28153926157046283,0.0929171668667467,0.7988202421608196,0.6486653230781886,0.43206435674922405,0.19530475035820566,0.9097524604831494,0.8087733628020949,0.6266969610905992,0.3450502152080344,0.9761185006045949,0.9375275521128534,0.8417752343845124,0.6240394966405582,0.8353984609364811,0.3447087211306446
39,0.6676881038352689,0.4944867358708189,0.2881391671059568,0.10633648943918426,0.7994335647428591,0.6531730454694145,0.43462739848282017,0.19816736586442923,0.9083717864205669,0.8116114874534872,0.6283604801893704,0.3501028318304066,0.973206130112656,0.9399962380086526,0.847870796031938,0.6388360380526021,0.845295262816353,0.35963141728828435
40,0.660873492792899,0.48163512631677075,0.28304292392690183,0.09403388165971029,0.7967488128661052,0.6392227893956858,0.42645845235828095,0.178928846365336,0.9114351126641764,0.8058840778027563,0.6301369863013698,0.3439541182093357,0.9716340391530164,0.9334731223789554,0.8374869879370522,0.6181427566025854,0.829265108993604,0.34107066381156315
41,0.6592501682568589,0.4835844494047619,0.27921318447634236,0.1063468992248062,0.7942169691853103,0.6429457492557062,0.42170152336689903,0.1893491124260355,0.9057642883368009,0.8049970720281086,0.6207349831399669,0.3402999361837907,0.9685111586670743,0.9312118289938927,0.8341605658270257,0.6173974540311173,0.8321650575320725,0.3407426332822347
42,0.6677426381765253,0.49537058795882877,0.29217223236336304,0.10586766541822722,0.7977594751169121,0.6505488109096956,0.4354766042350518,0.19791783275495353,0.9073179567685062,0.8087941047289053,0.6298409405255878,0.34789579158316636,0.9735246564268392,0.9365383387601354,0.8430576070901034,0.6253306128617849,0.8336744800264113,0.3464970403745914
43,0.6622269162314929,0.4883314957736126,0.28832307210685587,0.11162339238049017,0.7966107592734358,0.6448452551752408,0.426662464544595,0.18957293399889075,0.9093935358915386,0.8100413580840627,0.6266952983725136,0.34322335627818656,0.9719020172910663,0.933648393194707,0.8351011948305291,0.6190371268040101,0.8352495427227593,0.3413856735447073
44,0.6615863264020164,0.48451122240771655,0.2867716042947983,0.10052531041069723,0.7966125371049415,0.6458894180989853,0.4308394395166474,0.18554190191519981,0.9061075660893345,0.8035870092098885,0.6266917937296557,0.34848,0.9732042791645441,0.934603862578877,0.8359958058348239,0.6257425007425007,0.8391045362309354,0.34605816247748133
