player,wta_rank,original_matches,original_edge,original_edge_rank,bootstrap_edge_mean,bootstrap_edge_median,bootstrap_edge_bias,bootstrap_edge_se,edge_ci_lower,edge_ci_upper,edge_ci_width,bootstrap_rank_median,rank_ci_lower,rank_ci_upper,rank_ci_width,probability_top_10_given_valid,probability_top_20_given_valid,probability_top_10_unconditional,probability_top_20_unconditional,valid_edge_replicates,valid_rank_replicates,availability_rate
Leylah Fernandez,22,44,0.024310588393788777,5.0,0.0242596048593553,0.024248894184203312,-5.098353443347761e-05,0.002098045592984609,0.02008650193521382,0.02840052118043583,0.008314019245222012,8.0,3.0,18.0,15.0,0.6842,0.991,0.6842,0.991,5000,5000,1.0
Diana Shnaider,23,27,0.01626202827359142,26.0,0.01624056624031483,0.016324128691582816,-2.1462033276593157e-05,0.0028529974850977037,0.01047427827324436,0.021785306828553893,0.011311028555309533,27.0,14.0,36.0,22.0,0.0062,0.1562,0.0062,0.1562,5000,5000,1.0
Anna Kalinskaya,24,36,0.021302741810535798,15.0,0.021286600416925917,0.021276363867717002,-1.6141393609881566e-05,0.002990804925850646,0.01540832111449201,0.027226439823214123,0.011818118708722113,15.0,4.0,29.0,25.0,0.2346,0.789,0.2346,0.789,5000,5000,1.0
Emma Navarro,25,29,0.015685591487019514,28.0,0.015673744352311923,0.015670825780888367,-1.1847134707591161e-05,0.0038206719598930412,0.008319920855127916,0.023156102011369986,0.01483618115624207,28.0,11.0,37.0,26.0,0.0248,0.1868,0.0248,0.1868,5000,5000,1.0
Liudmila Samsonova,27,41,0.0224515647394554,12.0,0.02248676766890734,0.022472709009250365,3.520292945194056e-05,0.003390413279629278,0.015909033675990395,0.029113034752715483,0.013204001076725088,12.0,3.0,28.0,25.0,0.4016,0.856,0.4016,0.856,5000,5000,1.0
Marie Bouzkova,28,35,0.012066542435046967,37.0,0.012062380070186713,0.012099472866063245,-4.162364860253384e-06,0.002511503245638283,0.007020052839502548,0.01686562983090927,0.00984557699140672,35.0,25.0,38.0,13.0,0.0,0.004,0.0,0.004,5000,5000,1.0
Anastasia Potapova,30,29,0.012163797046979792,36.0,0.012050473950971564,0.011973564763255685,-0.00011332309600822765,0.0036260523699362833,0.004890958009510976,0.019121063807772835,0.01423010579826186,35.0,20.0,38.0,18.0,0.001,0.0266,0.001,0.0266,5000,5000,1.0
Jelena Ostapenko,31,31,0.02369892126478787,9.0,0.023680792751380846,0.02357886173804117,-1.8128513407024427e-05,0.0028648750124584295,0.01824349488495649,0.029454558380780656,0.011211063495824167,10.0,3.0,22.0,19.0,0.5516,0.9528,0.5516,0.9528,5000,5000,1.0
Emma Raducanu,39,66,0.018579496220941127,21.0,0.018546608877365138,0.018577694956707087,-3.288734357598938e-05,0.002383546108025064,0.013851464562120462,0.02331982303101546,0.009468358468894999,22.0,10.0,32.0,22.0,0.0276,0.4226,0.0276,0.4226,5000,5000,1.0
Barbora Krejcikova,41,27,0.0143346552793311,31.0,0.014457836473146989,0.014403847666181479,0.00012318119381588867,0.003415547951102267,0.007785063597612499,0.021254800868767208,0.013469737271154709,31.0,15.0,37.0,22.0,0.0058,0.0888,0.0058,0.0888,5000,5000,1.0
Marketa Vondrousova,44,32,0.014543422032138525,30.0,0.014552491583014922,0.014506715715736132,9.06955087639702e-06,0.0027492062457342035,0.009178528024279924,0.02018268429742768,0.011004156273147755,31.0,18.0,37.0,19.0,0.001,0.0596,0.001,0.0596,5000,5000,1.0
Maria Sakkari,49,53,0.013534677560530783,35.0,0.013504194256613578,0.013528504009864847,-3.048330391720519e-05,0.00214582239751491,0.009127256623870686,0.017633011837624123,0.008505755213753437,32.0,23.0,37.0,14.0,0.0,0.0066,0.0,0.0066,5000,5000,1.0
Daria Kasatkina,53,44,0.006434119645607337,38.0,0.00644968589760337,0.006404892169076868,1.556625199603326e-05,0.002214457137483925,0.0020857574832366917,0.010904244425994417,0.008818486942757726,38.0,36.0,38.0,2.0,0.0,0.0,0.0,0.0,5000,5000,1.0
Qinwen Zheng,56,48,0.024013790315714,7.0,0.02404102766407031,0.02407553717925293,2.7237348356308477e-05,0.0029902820683255283,0.01797331827769746,0.029842558009140558,0.011869239731443097,9.0,3.0,23.0,20.0,0.5998,0.9556,0.5998,0.9556,5000,5000,1.0
Donna Vekic,72,33,0.017890031714520707,23.0,0.017813198400107866,0.017840110373776953,-7.683331441284136e-05,0.002627636070584345,0.012605295542468288,0.022834276903892278,0.01022898136142399,23.0,11.0,34.0,23.0,0.0174,0.3226,0.0174,0.3226,5000,5000,1.0
Magda Linette,73,58,0.023267591394880088,10.0,0.023259877428352057,0.02329199323321004,-7.713966528030691e-06,0.002061940557979487,0.019151616306922425,0.027171562403113827,0.008019946096191402,11.0,4.0,20.0,16.0,0.4954,0.9774,0.4954,0.9774,5000,5000,1.0
Veronika Kudermetova,85,29,0.014762207362338537,29.0,0.014760882237220977,0.014689727111339316,-1.3251251175603468e-06,0.0036847922429274686,0.007565853560369125,0.022345116766058867,0.014779263205689742,30.0,13.0,37.0,24.0,0.0148,0.1158,0.0148,0.1158,5000,5000,1.0
Sofia Kenin,87,51,0.02384994896112812,8.0,0.023808851594486292,0.023799796248188336,-4.1097366641828365e-05,0.0024957259133600715,0.018781195065758437,0.028530019765194977,0.00974882469943654,9.0,3.0,21.0,18.0,0.5842,0.9708,0.5842,0.9708,5000,5000,1.0
