bootstrap_iteration,valid_players,rank_correlation_with_original,top_10_overlap_count,top_10_overlap_rate,top_20_overlap_count,top_20_overlap_rate
282,38,0.945070576649524,8,0.8,18,0.9
283,38,0.8800744063901959,7,0.7,18,0.9
284,38,0.9100558047926468,7,0.7,19,0.95
285,38,0.9061166429587483,9,0.9,18,0.9
286,38,0.8616916511653352,8,0.8,17,0.85
287,38,0.9023963234489549,7,0.7,18,0.9
288,38,0.8914542072436809,7,0.7,18,0.9
289,38,0.8603785972207025,7,0.7,17,0.85
290,38,0.9255936098041362,7,0.7,17,0.85
291,38,0.8809497756866177,6,0.6,17,0.85
292,38,0.9345661450924608,9,0.9,19,0.95
293,38,0.8426523689681585,7,0.7,18,0.9
294,38,0.9067731699310646,6,0.6,18,0.9
295,38,0.891891891891892,8,0.8,17,0.85
296,38,0.8439654229127913,7,0.7,17,0.85
297,38,0.8827005142794616,7,0.7,18,0.9
298,38,0.9058978006346428,8,0.8,17,0.85
299,38,0.8286464602254076,8,0.8,16,0.8
300,38,0.8603785972207025,8,0.8,17,0.85
301,38,0.8735091366670313,6,0.6,18,0.9
302,38,0.8654119706751285,7,0.7,17,0.85
303,38,0.9461647882700515,8,0.8,18,0.9
304,38,0.8743845059634533,7,0.7,16,0.8
305,38,0.8721960827223986,8,0.8,18,0.9
306,38,0.8888280993544151,6,0.6,20,1.0
307,38,0.8244884560674035,7,0.7,18,0.9
308,38,0.8741656636393479,7,0.7,17,0.85
309,38,0.9021774811248495,9,0.9,18,0.9
310,38,0.890141153299048,7,0.7,18,0.9
311,38,0.8142028668344458,7,0.7,18,0.9
312,38,0.8770106138527192,8,0.8,18,0.9
313,38,0.8978006346427398,8,0.8,17,0.85
314,38,0.896487580698107,7,0.7,19,0.95
315,38,0.9139949666265456,7,0.7,19,0.95
316,38,0.8371813108655214,8,0.8,16,0.8
317,38,0.887952730057993,6,0.6,18,0.9
318,38,0.8695699748331327,7,0.7,16,0.8
319,38,0.8829193566035671,7,0.7,19,0.95
320,38,0.8225188751504541,5,0.5,19,0.95
321,38,0.9308458255826677,8,0.8,17,0.85
322,38,0.8546886967939599,8,0.8,16,0.8
323,38,0.8735091366670313,8,0.8,16,0.8
324,38,0.8835758835758836,8,0.8,17,0.85
325,38,0.8422146843199475,7,0.7,17,0.85
326,38,0.8741656636393479,6,0.6,19,0.95
327,38,0.8595032279242807,7,0.7,17,0.85
328,38,0.8380566801619432,6,0.6,19,0.95
329,38,0.9080862238756976,6,0.6,18,0.9
330,38,0.8229565597986651,6,0.6,17,0.85
331,38,0.8603785972207025,8,0.8,17,0.85
332,38,0.9026151657730606,8,0.8,18,0.9
333,38,0.8925484188642083,8,0.8,17,0.85
334,38,0.9286574023416128,8,0.8,19,0.95
335,38,0.921435605646132,9,0.9,18,0.9
336,38,0.8761352445562971,7,0.7,17,0.85
337,38,0.9288762446657184,7,0.7,20,1.0
338,38,0.8949556844293686,7,0.7,18,0.9
339,38,0.8973629499945289,8,0.8,17,0.85
340,38,0.9404748878433089,8,0.8,19,0.95
341,38,0.8553452237662764,8,0.8,17,0.85
342,38,0.9365357260094103,9,0.9,17,0.85
343,38,0.8967064230222126,8,0.8,18,0.9
344,38,0.8927672611883138,6,0.6,18,0.9
345,38,0.8605974395448079,5,0.5,18,0.9
346,38,0.8428712112922638,5,0.5,19,0.95
347,38,0.8505306926359557,8,0.8,18,0.9
348,38,0.8039172776014881,6,0.6,17,0.85
349,38,0.9078673815515921,7,0.7,17,0.85
350,38,0.8509683772841667,6,0.6,18,0.9
351,38,0.8945179997811576,7,0.7,19,0.95
352,38,0.8595032279242807,8,0.8,18,0.9
353,38,0.8549075391180654,8,0.8,18,0.9
354,38,0.8476857424225844,8,0.8,16,0.8
355,38,0.8774482985009301,8,0.8,15,0.75
356,38,0.9170587591640224,7,0.7,18,0.9
357,38,0.8529379582011161,9,0.9,17,0.85
358,38,0.8286464602254076,8,0.8,15,0.75
359,38,0.9013021118284277,7,0.7,18,0.9
360,38,0.8485611117190064,7,0.7,18,0.9
361,38,0.8209869788817157,6,0.6,16,0.8
362,38,0.9021774811248495,9,0.9,17,0.85
363,38,0.8610351241930189,6,0.6,16,0.8
364,38,0.8325856220593063,8,0.8,18,0.9
365,38,0.9395995185468871,7,0.7,19,0.95
366,38,0.835649414596783,9,0.9,17,0.85
367,38,0.933690775796039,8,0.8,19,0.95
368,38,0.8997702155596893,8,0.8,19,0.95
369,38,0.8763540868804026,8,0.8,17,0.85
370,38,0.8813874603348286,8,0.8,18,0.9
371,38,0.8511872196082723,9,0.9,18,0.9
372,38,0.9063354852828537,7,0.7,18,0.9
373,38,0.7997592734434839,6,0.6,17,0.85
374,38,0.8752598752598751,6,0.6,19,0.95
375,38,0.8616916511653352,7,0.7,17,0.85
376,38,0.8923295765401029,6,0.6,18,0.9
377,38,0.8610351241930189,6,0.6,17,0.85
378,38,0.8864208337892548,7,0.7,19,0.95
379,38,0.8632235474340738,6,0.6,18,0.9
380,38,0.8686946055367107,7,0.7,17,0.85
381,38,0.8078564394353869,7,0.7,17,0.85
382,38,0.877885983149141,8,0.8,18,0.9
383,38,0.8855454644928329,8,0.8,18,0.9
384,38,0.8781048254732464,7,0.7,16,0.8
385,38,0.8352117299485722,7,0.7,18,0.9
386,38,0.878761352445563,8,0.8,17,0.85
387,38,0.8306160411423569,8,0.8,16,0.8
388,38,0.9056789583105371,10,1.0,19,0.95
389,38,0.8986760039391618,8,0.8,17,0.85
390,38,0.8934237881606302,6,0.6,19,0.95
391,38,0.828427617901302,8,0.8,15,0.75
392,38,0.8603785972207025,7,0.7,16,0.8
393,38,0.9286574023416128,8,0.8,18,0.9
394,38,0.8573148046832257,8,0.8,15,0.75
395,38,0.9109311740890687,8,0.8,17,0.85
396,38,0.9249370828318196,8,0.8,17,0.85
397,38,0.8236130867709816,6,0.6,16,0.8
398,38,0.8997702155596893,7,0.7,19,0.95
399,38,0.8730714520188204,8,0.8,18,0.9
400,38,0.9069920122551701,8,0.8,17,0.85
401,38,0.8306160411423569,8,0.8,16,0.8
402,38,0.8840135682240945,8,0.8,19,0.95
403,38,0.8472480577743735,7,0.7,16,0.8
404,38,0.8514060619323777,7,0.7,17,0.85
