player,DR+,DR,BLR,serve_LR,return_LR,serve_points_won_rate,return_points_won_rate,serve_points_lost_rate,points,matches,serve_points,return_points,serve_points_won,return_points_won,avg_serve_won_LEV,avg_serve_lost_LEV,avg_return_won_LEV,avg_return_lost_LEV,wta_rank,drplus_rank
Naomi Osaka,1.1073950106292547,1.0700870917921617,1.0348643761085001,0.7280961269659733,1.3416326252510271,0.6143008101444171,0.41273172437915356,0.38569918985558294,5698.0,67.0,2839.0,2859.0,1744.0,1180.0,0.14393431687682948,0.1976858707882621,0.19885418719430437,0.1482180616747432,15,14
Tereza Valentova,1.1059358054321367,1.0841976887373306,1.0200499566828283,0.7254156061191847,1.314684307246472,0.5860517435320585,0.44880174291938996,0.41394825646794153,1807.0,13.0,889.0,918.0,521.0,412.0,0.1517391398251109,0.20917545548390146,0.20593169628434696,0.15663965497211924,60,15
Elina Svitolina,1.1054079160456252,1.0646696937593816,1.0382637192784137,0.7565254702356642,1.3200019683211632,0.5931058990760484,0.43320781782320245,0.4068941009239516,11205.0,147.0,5628.0,5577.0,3338.0,2416.0,0.15260115251347578,0.201713172282143,0.20268824312723166,0.15355147037016886,8,16
Marta Kostyuk,1.1047426028701548,1.0620250094499886,1.0402227753961173,0.7623032323150221,1.3181423184772125,0.5815839694656488,0.44436828878227097,0.41841603053435117,8569.0,58.0,4192.0,4377.0,2438.0,1945.0,0.15393165744908507,0.20192969270458605,0.20640245543032196,0.15658586522642634,12,17
Jasmine Paolini,1.1033554554221985,1.0585945097328213,1.042283372224058,0.734771161794598,1.349795582653518,0.5760259816947151,0.44881656804733727,0.4239740183052849,6767.0,51.0,3387.0,3380.0,1951.0,1517.0,0.15041247404386499,0.2047065560881554,0.20587925292402953,0.15252624587739308,14,18
Amanda Anisimova,1.0957123477243835,1.0526428196555613,1.0409156147409195,0.7596073056211934,1.322223923860646,0.5795197100135931,0.4426155580608794,0.42048028998640685,8849.0,72.0,4414.0,4435.0,2558.0,1963.0,0.1526660553390086,0.20098023572082552,0.20407701842888337,0.15434376488440532,6,19
Talia Gibson,1.0892085376352305,1.038583602703497,1.0487442077844804,0.7446013484883751,1.3528870670805857,0.6171802054154996,0.39759036144578314,0.38281979458450044,2150.0,16.0,1071.0,1079.0,661.0,429.0,0.14656946678902297,0.19684287046561968,0.1991988518099664,0.14723982264079177,63,20
Madison Keys,1.0760808776378787,1.0370581280102937,1.037628314723741,0.7294550512653123,1.34580157818217,0.5981827359919233,0.416707859614434,0.4018172640080767,4004.0,67.0,1981.0,2023.0,1185.0,843.0,0.1477310499949404,0.20252248543441603,0.19933083146213165,0.14811309088474697,28,21
Anna Kalinskaya,1.0705360673718933,0.9995804237377272,1.070985427434485,0.7797023278172325,1.3622685270517374,0.5732708089097304,0.42655014565126925,0.42672919109026963,4962.0,37.0,2559.0,2403.0,1467.0,1025.0,0.15700816320451916,0.20136936572199504,0.20151830517403704,0.1479284745792146,20,22
Sorana Cirstea,1.0677520073431606,1.0194201001593446,1.0474111773706063,0.758884294708572,1.3359380600326407,0.5788313120176406,0.42934782608695654,0.4211686879823594,3654.0,35.0,1814.0,1840.0,1050.0,790.0,0.15328775518638768,0.2019909441468327,0.20455247923347583,0.15311524190610906,18,23
