player,EDGE,positive_EDGE,negative_EDGE,points,matches,coverage,eventRate,ace_edge,double_fault_edge,forced_return_error_drawn_edge,unforced_return_error_edge,return_winner_edge,winner_edge,forced_error_drawn_edge,unforced_error_edge,ace_count,double_fault_count,forced_return_error_drawn_count,unforced_return_error_count,return_winner_count,winner_count,forced_error_drawn_count,unforced_error_count,wta_rank,edge_rank
Marta Kostyuk,0.01411782302345425,0.05078708912913739,-0.036669266105683135,8569.0,57.0,0.9980161045629595,0.504142840471467,0.003279987678263179,-0.006969641010322719,0.009914278380248888,-0.003837856856470197,0.003162101618627541,0.020845253853759384,0.013585467598238398,-0.02586176823889022,196.0,306.0,574.0,221.0,142.0,1035.0,645.0,1201.0,15,43
Mirra Andreeva,0.013815882765418123,0.049023424626500875,-0.035207541861082756,15612.0,113.0,0.9992313604919293,0.4865488086087625,0.0036097763184225152,-0.004850564774451336,0.009366509147241835,-0.0033265459437975833,0.00228560240767919,0.021114062657188674,0.012647474095968666,-0.027030431142833832,393.0,388.0,988.0,349.0,187.0,1910.0,1094.0,2287.0,8,44
Ajla Tomljanovic,0.01376561365120334,0.04448673369349287,-0.030721120042289527,2037.0,15.0,0.9970544918998527,0.4329896907216495,0.0028158871504751063,-0.005269759385935433,0.010172234567854774,-0.0018993673165897437,0.0022482149615233172,0.013301652711238076,0.015948744302401594,-0.02355199333976435,40.0,55.0,140.0,26.0,24.0,157.0,180.0,260.0,98,45
Shuai Zhang,0.013577036365267674,0.04971912301313697,-0.0361420866478693,1903.0,15.0,0.999474513925381,0.4929059379926432,0.0017331467273634946,-0.004410103610313576,0.009566337148902416,-0.003127863878000977,0.0021057079043852456,0.020949331689872654,0.01536459954261316,-0.02860411915955474,23.0,43.0,123.0,40.0,21.0,231.0,162.0,295.0,61,46
Maria Sakkari,0.013534677560530783,0.05032957863535054,-0.036794901074819766,7470.0,53.0,0.9963855421686747,0.5046854082998661,0.00391611872023303,-0.0043632992044496275,0.011392698454259036,-0.002888511108354081,0.0012261349067263715,0.019152739867192365,0.014641886686939744,-0.029543090762016055,204.0,167.0,575.0,145.0,48.0,829.0,606.0,1196.0,49,47
Anastasia Potapova,0.012163797046979792,0.05085611693085621,-0.03869231988387642,3915.0,29.0,0.9984674329501916,0.5144316730523627,0.0026372239657553066,-0.0061318633874631765,0.011039018080456653,-0.00258466217923907,0.002193301665049328,0.019219925691220757,0.015766647528374172,-0.02997579431717417,72.0,123.0,292.0,68.0,45.0,436.0,342.0,636.0,30,48
Marie Bouzkova,0.012066542435046967,0.04322552235710572,-0.031158979922058756,4590.0,35.0,0.998474945533769,0.426797385620915,0.001468356317534511,-0.0036993523019056896,0.008609500100420614,-0.002334245082288572,0.0015797506110355292,0.0173334583490239,0.014234456979091167,-0.025125382537864494,47.0,87.0,267.0,72.0,38.0,461.0,362.0,625.0,28,49
Anhelina Kalinina,0.011126872990311329,0.04733737147848151,-0.03621049848817018,2573.0,18.0,0.9984453944811504,0.4784298484259619,0.0028423442324271996,-0.004778811375165035,0.008225751983523917,-0.002602551721653844,0.0023731643355994285,0.018043030164003545,0.015853080762927414,-0.0288291353913513,51.0,63.0,143.0,45.0,32.0,269.0,226.0,402.0,60,50
Camila Osorio,0.008830765485290456,0.04446288369761438,-0.03563211821232392,2533.0,19.0,0.9857876036320569,0.4583497828661666,0.0018682071668188625,-0.006857628312488909,0.007537613767127919,-0.0036423622928328393,0.0014313176677167546,0.018804893304157303,0.01482085179179354,-0.025132127607002175,33.0,89.0,129.0,62.0,19.0,276.0,208.0,345.0,86,51
Varvara Gracheva,0.00877856691622082,0.04891345842268683,-0.04013489150646601,1972.0,15.0,0.9994929006085193,0.5070993914807302,0.0015997865968736234,-0.004354766681196947,0.008781289815713779,-0.0021883547646455366,0.002032029483795701,0.01837847049872195,0.018121882027581773,-0.03359177006062353,22.0,44.0,117.0,29.0,21.0,210.0,198.0,359.0,70,52
