player,DR,serve_points_won_rate,return_points_won_rate,serve_points_lost_rate,points,serve_points,return_points,serve_points_won,return_points_won,matches,wta_rank,dr_rank
Peyton Stearns,0.9554726139995626,0.5404217926186292,0.43911439114391143,0.4595782073813708,2222.0,1138.0,1084.0,615.0,476.0,15.0,61,44
Anastasia Potapova,0.9516996266756573,0.5540950455005056,0.4243675787299948,0.4459049544994944,3915.0,1978.0,1937.0,1096.0,822.0,33.0,26,45
Diane Parry,0.9483943054623655,0.5844845908607864,0.3940724478594951,0.4155154091392136,1852.0,941.0,911.0,550.0,359.0,13.0,57,46
Magda Linette,0.9464341204351359,0.5757199602780536,0.40155310621242485,0.4242800397219464,8020.0,4028.0,3992.0,2319.0,1603.0,69.0,46,47
Katie Boulter,0.9447456886233778,0.5537488708220416,0.42159383033419023,0.4462511291779584,2274.0,1107.0,1167.0,613.0,492.0,21.0,53,48
Yulia Putintseva,0.9340766547300625,0.5547498187092096,0.41589779985805536,0.4452501812907904,2788.0,1379.0,1409.0,765.0,586.0,30.0,82,49
Anhelina Kalinina,0.9252501966385164,0.5320877335499594,0.43293591654247393,0.4679122664500406,2573.0,1231.0,1342.0,655.0,581.0,19.0,68,50
Katerina Siniakova,0.9247956380110112,0.5495118549511855,0.4166094715168154,0.4504881450488145,2891.0,1434.0,1457.0,788.0,607.0,30.0,33,51
Daria Kasatkina,0.9233540757039226,0.515399737876802,0.44745762711864406,0.48460026212319796,6297.0,3052.0,3245.0,1573.0,1452.0,67.0,66,52
Dayana Yastremska,0.9209926411774118,0.5437392795883362,0.42021276595744683,0.45626072041166377,2294.0,1166.0,1128.0,634.0,474.0,32.0,48,53
Maya Joint,0.9063094457854437,0.5379803395889187,0.418732782369146,0.46201966041108133,2208.0,1119.0,1089.0,602.0,456.0,18.0,51,54
Laura Siegemund,0.8882192046087187,0.5273743016759777,0.4197952218430034,0.47262569832402235,1774.0,895.0,879.0,472.0,369.0,23.0,41,55
Eva Lys,0.8868538491512089,0.5106907894736842,0.4339457567804024,0.4893092105263158,2359.0,1216.0,1143.0,621.0,496.0,18.0,77,56
Varvara Gracheva,0.8851099554483636,0.5084241823587711,0.43509865005192105,0.49157581764122893,1972.0,1009.0,963.0,513.0,419.0,15.0,69,57
Alycia Parks,0.8780233058671089,0.5366548042704626,0.406827880512091,0.46334519572953736,2811.0,1405.0,1406.0,754.0,572.0,22.0,76,58
Solana Sierra,0.8762795579597047,0.5311804008908686,0.4108170310701956,0.4688195991091314,1767.0,898.0,869.0,477.0,357.0,15.0,55,59
Marie Bouzkova,0.8742765422516199,0.5498901098901099,0.3935205183585313,0.4501098901098901,4590.0,2275.0,2315.0,1251.0,911.0,39.0,27,60
Viktorija Golubic,0.8731341075691681,0.5304621848739496,0.40996948118006105,0.4695378151260504,1935.0,952.0,983.0,505.0,403.0,18.0,73,61
Jaqueline Cristian,0.8453837597330367,0.5421052631578948,0.3870967741935484,0.45789473684210524,2601.0,1330.0,1271.0,721.0,492.0,18.0,39,62
Shuai Zhang,0.836587129428778,0.5291113381001021,0.3939393939393939,0.47088866189989786,1903.0,979.0,924.0,518.0,364.0,19.0,64,63
Ajla Tomljanovic,0.8312800360278104,0.5311890838206628,0.3897131552917903,0.46881091617933723,2037.0,1026.0,1011.0,545.0,394.0,21.0,92,64
Kimberly Birrell,0.6832067109844887,0.49919743178170145,0.3421516754850088,0.5008025682182986,1190.0,623.0,567.0,311.0,194.0,13.0,70,65
