player,Elo,Elo_matches,Elo_wins,Elo_losses,FIRST_ELO_MATCH_DATE,LAST_ELO_MATCH_DATE,Elo_rank
Patty Fendick,1680.8243559369284,365,201,164,1982-10-11,1995-08-14,169
Garbine Muguruza,1679.6683411970162,498,315,183,2012-03-19,2023-01-30,170
Sabine Hack,1679.4180681647442,321,186,135,1985-09-23,1997-01-13,171
Taylor Townsend,1679.2307511753663,152,69,83,2013-03-04,2026-05-05,172
Kate Makarova,1679.0827404846914,487,257,230,2007-08-06,2019-02-18,173
Carla Suarez Navarro,1676.1377487874934,620,359,261,2008-02-11,2021-11-01,174
Gail Sherriff,1675.980061914414,514,355,159,1968-01-02,1982-05-24,175
Renee Richards,1675.560153486122,216,128,88,1976-08-21,1982-04-26,176
Gigi Fernandez,1674.819087475079,452,232,220,1982-08-07,1997-08-25,177
Julie Anthony,1674.7689408642611,182,89,93,1969-04-16,1979-10-01,178
Virginia Wade,1673.575202147444,1278,921,357,1967-12-25,1985-11-25,179
Katarina Srebotnik,1673.4533352056083,460,243,217,1999-04-05,2010-08-16,180
Agnes Szavay,1672.7190218804792,217,123,94,2005-02-14,2012-08-27,181
Betty Ann Grubb,1671.967101273758,246,132,114,1968-01-29,1981-09-01,182
Iva Jovic,1671.8621265877591,60,36,24,2024-08-26,2026-05-17,183
Maria Sakkari,1671.7430831135339,485,268,217,2012-02-01,2026-05-17,184
Magdalena Maleeva,1671.7360765148237,681,403,278,1989-07-17,2005-10-17,185
Janice Metcalf,1671.4009945645769,112,69,43,1970-04-20,1977-01-31,186
Ann Li,1670.5447411573803,161,85,76,2020-01-06,2026-05-17,187
Svetlana Kuznetsova,1670.1972642418918,942,611,331,2001-05-21,2021-06-28,188
Katie Boulter,1669.4360914847998,204,108,96,2017-07-03,2026-05-05,189
Lori Mcneil,1668.2329837701166,662,384,278,1980-08-11,1999-03-18,190
Janet Young,1668.1879776074059,168,82,86,1968-01-02,1977-01-03,191
Clara Tauson,1667.693359450944,189,104,85,2018-04-18,2026-05-17,192
Ann Kiyomura Hayashi,1667.5702087903717,404,192,212,1968-04-29,1984-08-28,193
Silvia Farina Elia,1666.9846793729073,710,389,321,1989-05-01,2005-10-24,194
Arantxa Sanchez Vicario,1666.074049223517,1059,764,295,1986-05-05,2002-11-02,195
Virginia Ruzici,1663.7253838214601,774,484,290,1972-09-25,1987-10-12,196
Petra Delhees Jauch,1663.2477056026366,185,88,97,1975-07-07,1985-05-27,197
Christine Truman,1663.15183332611,153,100,53,1968-04-08,1975-05-12,198
Katja Ebbinghaus,1662.970881080413,340,192,148,1968-02-26,1982-05-17,199
Liudmila Samsonova,1662.6346863221368,286,158,128,2019-05-27,2026-05-17,200
Mccartney Kessler,1661.4352039248436,91,48,43,2024-01-01,2026-05-17,201
Catherine Cartan Bellis,1660.176695882815,76,40,36,2014-08-25,2020-09-28,202
Katerina Siniakova,1659.3917320138908,468,225,243,2013-03-18,2026-05-17,203
Peyton Stearns,1659.2641628938677,137,68,69,2022-08-22,2026-05-17,204
Tory Ann Fretz,1657.9156620750598,209,105,104,1968-03-11,1981-09-12,205
Virginie Razzano,1656.3271646159224,428,207,221,1999-05-24,2016-08-29,206
Marianne Werdel Witmeyer,1656.0365971808737,383,181,202,1983-01-22,1997-02-17,207
Elisabetta Cocciaretto,1655.105621997306,181,87,94,2019-05-13,2026-05-05,208
Sonay Kartal,1654.9964998705639,59,32,27,2022-06-06,2026-03-04,209
Kristy Pigeon,1652.9438772150202,210,113,97,1968-02-16,1974-10-07,210
Helen Kelesi,1652.0754198889422,398,227,171,1985-03-04,1994-08-29,211
Pascale Paradis Mangon,1651.4407372031899,299,140,159,1980-07-05,1993-10-11,212
Elena Bovina,1650.7069888111682,240,130,110,2000-05-29,2011-09-12,213
Dianne Van Rensburg,1650.5834990842718,174,82,92,1986-02-10,1995-01-02,214
Linda Mottram,1650.039774524496,161,102,59,1971-04-12,1979-05-06,215
Sue Mappin,1649.7756009953257,218,115,103,1968-04-22,1978-07-31,216
Dianne Fromholtz,1649.701839151632,793,501,292,1971-03-07,1990-01-15,217
Mirjana Lucic,1649.450337052117,313,146,167,1996-04-22,2018-01-15,218
Lea Plchova,1649.4213542546117,88,61,27,1977-05-09,1985-11-11,219
Maryna Godwin,1647.7133488196102,107,62,45,1968-01-01,1973-07-09,220
Lina Krasnoroutskaya,1646.8946031514204,136,65,71,1999-09-20,2005-01-03,221
Laura Siegemund,1646.8105807934328,303,148,155,2010-07-05,2026-05-05,222
Valerie Ziegenfuss,1645.5862312987508,493,250,243,1968-02-20,1979-03-28,223
Victoria Rogers,1645.586186767425,65,40,25,1968-02-16,1969-01-12,224
Claudia Kohde Kilsch,1643.9627996062118,655,415,240,1977-07-04,1992-10-05,225
Laura Rossouw,1643.900467306725,258,126,132,1967-12-25,1974-08-12,226
Heide Orth,1643.718356135888,125,66,59,1968-01-26,1976-06-28,227
Janet Newberry,1643.3654260237067,435,241,194,1968-01-29,1980-10-06,228
Helena Sukova,1642.688012990404,938,627,311,1981-03-30,1998-06-22,229
Jie Zheng,1641.5814086745017,437,234,203,2002-03-05,2015-01-19,230
Elena Makarova,1641.1120249379906,153,74,79,1990-10-01,1999-06-07,231
Camila Osorio,1641.0290519314578,206,112,94,2016-02-05,2026-05-18,232
Magda Linette,1640.107109580058,474,232,242,2011-02-02,2026-05-05,233
Tsvetana Pironkova,1639.866030365935,434,192,242,2003-04-23,2021-08-30,234
Wendy Turnbull,1639.4440543954847,955,610,345,1968-12-07,1989-06-26,235
Denise Carter,1639.3804798294836,122,65,57,1968-03-25,1974-09-30,236
Eva Lys,1638.985609206275,87,44,43,2022-04-18,2026-05-05,237
Amy Frazier,1638.9395998114508,725,417,308,1987-08-24,2006-08-28,238
Petra Russegger,1638.6701305558809,30,25,5,2001-03-05,2002-01-28,239
Elena Vesnina,1638.4903084962893,528,264,264,2004-11-01,2021-07-24,240
Mary Carillo,1638.3607033489545,109,56,53,1974-08-19,1982-04-15,241
Neige Dias,1637.505384714253,165,83,82,1981-03-23,1989-07-17,242
Elna Reinach,1637.4855913995004,334,158,176,1984-04-23,1995-08-28,243
Mariana Simionescu,1637.1506659586717,171,82,89,1972-03-06,1980-10-20,244
Olga Danilovic,1637.1268235516225,109,58,51,2018-02-07,2026-02-01,245
Stephanie Rottier,1636.978018170338,125,60,65,1990-10-15,1996-04-15,246
Brenda Kirk,1636.9414069400577,233,113,120,1968-01-01,1977-12-01,247
Patty Schnyder,1636.589888586311,888,526,362,1995-10-02,2018-08-27,248
Yulia Putintseva,1636.5491953010774,555,285,270,2010-10-18,2026-05-05,249
Elena Likhovtseva,1636.3761414083021,718,368,350,1993-04-26,2008-03-24,250
Kelly Henry,1636.3382569355656,46,30,16,1977-07-31,1982-09-27,251
Alexandra Eala,1635.9595757706354,70,31,39,2021-08-02,2026-05-17,252
Florencia Labat,1635.9556732491576,406,209,197,1986-12-01,2000-09-19,253
