player,BLR,serve_LR,return_LR,points,matches,serve_points,return_points,serve_points_won,serve_points_lost,return_points_won,return_points_lost,avg_serve_won_LEV,avg_serve_lost_LEV,avg_return_won_LEV,avg_return_lost_LEV,wta_rank,blr_rank
Belinda Bencic,1.0459931619061353,0.7582559842730178,1.333730339539253,5656.0,77.0,2840.0,2816.0,1725.0,1115.0,1208.0,1608.0,0.1508741926450356,0.19897527454357922,0.1988779062888422,0.14911403032006157,11,21
Elena Rybakina,1.045830071338073,0.749668708682932,1.3419914339932142,17143.0,130.0,8536.0,8607.0,5442.0,3094.0,3789.0,4818.0,0.14661930187823038,0.19557879391260835,0.20437993860042789,0.1522960083227039,2,22
Camila Osorio,1.0453187581868344,0.7700784453107986,1.32055907106287,2497.0,19.0,1249.0,1248.0,672.0,577.0,574.0,674.0,0.16087930689539404,0.20891288137595412,0.20884547506089945,0.15814928664479,67,23
Katie Boulter,1.0450222672044935,0.7562282003331091,1.333816334075878,2238.0,21.0,1090.0,1148.0,608.0,482.0,484.0,664.0,0.15241124266519424,0.20154133712292002,0.19938969917050417,0.1494881222223519,53,24
Coco Gauff,1.0446408448268414,0.7515051457494668,1.337776543904216,13348.0,109.0,6619.0,6729.0,3981.0,2638.0,3062.0,3667.0,0.14806161870200546,0.19702009964861308,0.2065308238745001,0.15438364861126433,7,25
Linda Noskova,1.0439506787410933,0.7433695692826808,1.3445317881995058,6153.0,47.0,3146.0,3007.0,1865.0,1281.0,1198.0,1809.0,0.14869613535215045,0.20002989293150072,0.19464863758304074,0.1447705731403341,13,26
Jessica Pegula,1.043681123229578,0.754090234023024,1.3332720124361317,11091.0,81.0,5535.0,5556.0,3254.0,2281.0,2439.0,3117.0,0.15225591684719303,0.20190676125709425,0.2043228477204077,0.1532491838233914,4,27
Jasmine Paolini,1.042283372224058,0.734771161794598,1.349795582653518,6734.0,51.0,3376.0,3358.0,1945.0,1431.0,1506.0,1852.0,0.15041247404386499,0.2047065560881554,0.20587925292402953,0.15252624587739308,14,28
Iva Jovic,1.042179884147886,0.7563941352743841,1.3279656330213878,6034.0,44.0,3001.0,3033.0,1753.0,1248.0,1395.0,1638.0,0.15108647412672213,0.19974569748867113,0.20548733189597393,0.15473844110592613,17,29
Amanda Anisimova,1.0409156147409195,0.7596073056211934,1.322223923860646,8710.0,72.0,4344.0,4366.0,2519.0,1825.0,1943.0,2423.0,0.1526660553390086,0.20098023572082552,0.20407701842888337,0.15434376488440532,6,30
Maria Sakkari,1.0404767931010357,0.7611561279369033,1.3197974582651681,7443.0,63.0,3777.0,3666.0,2215.0,1562.0,1533.0,2133.0,0.15239064742829425,0.2002094469650342,0.20063271481722492,0.15201780664205117,40,31
Shuai Zhang,1.0403023163709457,0.7403362673415582,1.3402683654003331,1902.0,19.0,978.0,924.0,518.0,460.0,364.0,560.0,0.15100401275818867,0.2039667910643126,0.19399915110360996,0.14474649712832932,64,32
Marta Kostyuk,1.0402227753961173,0.7623032323150221,1.3181423184772125,8552.0,58.0,4182.0,4370.0,2438.0,1744.0,1939.0,2431.0,0.15393165744908507,0.20192969270458605,0.20640245543032196,0.15658586522642634,12,33
Elise Mertens,1.0386899848997062,0.7364325656374564,1.340947404161956,4268.0,41.0,2141.0,2127.0,1223.0,918.0,879.0,1248.0,0.15084152762186728,0.2048273455849943,0.19755167133709647,0.14732246076464064,24,34
Elina Svitolina,1.0382637192784137,0.7565254702356642,1.3200019683211632,11187.0,147.0,5616.0,5571.0,3333.0,2283.0,2411.0,3160.0,0.15260115251347578,0.201713172282143,0.20268824312723166,0.15355147037016886,8,35
Clara Tauson,1.0382552998134746,0.7419385377503196,1.3345720618766297,5704.0,41.0,2840.0,2864.0,1680.0,1160.0,1200.0,1664.0,0.15028535814735466,0.20255769245124364,0.20242553923986573,0.15167823830750798,23,36
Aryna Sabalenka,1.0382320163078715,0.7689751986349144,1.3074888339808288,6107.0,57.0,3005.0,3102.0,1836.0,1169.0,1358.0,1744.0,0.14901756986028866,0.19378722502991622,0.20231771961774836,0.15473762709067607,1,37
Magda Linette,1.0379154445597591,0.7609551675446347,1.3148757215748839,8000.0,69.0,4012.0,3988.0,2311.0,1701.0,1602.0,2386.0,0.15347505101263698,0.20168737602223422,0.19830668540180363,0.15081781657986892,46,38
Madison Keys,1.037628314723741,0.7294550512653123,1.34580157818217,3997.0,67.0,1978.0,2019.0,1185.0,793.0,841.0,1178.0,0.1477310499949404,0.20252248543441603,0.19933083146213165,0.14811309088474697,28,39
Viktorija Golubic,1.0373398800786022,0.758422776828914,1.3162569833282907,1928.0,18.0,949.0,979.0,503.0,446.0,401.0,578.0,0.1554605834997725,0.2049787905233778,0.2025510181905098,0.15388409767698918,73,40
Ajla Tomljanovic,1.0371714713314377,0.756629369543153,1.3177135731197223,2031.0,21.0,1021.0,1010.0,542.0,479.0,394.0,616.0,0.15375810204017237,0.20321455686158513,0.1986013933930858,0.15071666365467548,92,41
Katerina Siniakova,1.0369801311139282,0.7403483756530899,1.3336118865747666,2887.0,30.0,1433.0,1454.0,788.0,645.0,606.0,848.0,0.1501231105836955,0.2027736070215135,0.19895545093354644,0.14918542113818536,33,42
Naomi Osaka,1.0348643761085001,0.7280961269659733,1.3416326252510271,5684.0,67.0,2832.0,2852.0,1740.0,1092.0,1176.0,1676.0,0.14393431687682948,0.1976858707882621,0.19885418719430437,0.1482180616747432,15,43
Maya Joint,1.0346574912350155,0.7511777016469664,1.3181372808230647,2206.0,18.0,1119.0,1087.0,602.0,517.0,456.0,631.0,0.15246608188126795,0.20296939265766833,0.1966057664847593,0.14915424162951807,51,44
Dayana Yastremska,1.0342848718063649,0.7428993614664376,1.3256703821462923,2289.0,32.0,1163.0,1126.0,633.0,530.0,473.0,653.0,0.15065124318237094,0.20278822542665087,0.20125673613003403,0.15181506567582398,48,45
Marie Bouzkova,1.0299467372884565,0.7407831048079957,1.3191103697689173,4583.0,39.0,2273.0,2310.0,1250.0,1023.0,909.0,1401.0,0.15275276369978225,0.2062044378554967,0.1979094988967414,0.1500325548433156,27,46
Daria Kasatkina,1.0288453297715259,0.7465894606967852,1.3111011988462664,6290.0,67.0,3048.0,3242.0,1572.0,1476.0,1452.0,1790.0,0.15683320772727066,0.21006619565845416,0.20452023285988816,0.1559911874383613,66,47
Alexandra Eala,1.0284908308371565,0.7523349506522169,1.304646711022096,2424.0,20.0,1167.0,1257.0,641.0,526.0,573.0,684.0,0.15131684553614333,0.20112962372007734,0.20422172176197026,0.1565341176554819,34,48
Iga Swiatek,1.027712889740577,0.7469581813493207,1.308467598131833,26697.0,226.0,13071.0,13626.0,8255.0,4816.0,6659.0,6967.0,0.14472503910644924,0.1937525322301376,0.20770171766924408,0.15873661523280408,3,49
Leylah Fernandez,1.0251376580848548,0.734803953066669,1.3154713631030406,6027.0,44.0,2903.0,3124.0,1710.0,1193.0,1316.0,1808.0,0.14788280588737754,0.20125477723710625,0.20482481625909058,0.155704504107131,22,50
Anastasia Potapova,1.0250871874493246,0.7508132057445431,1.299361169154106,3909.0,33.0,1975.0,1934.0,1095.0,880.0,819.0,1115.0,0.15172452309862397,0.20208025370060786,0.19832252414672463,0.15263079184968573,26,51
Karolina Muchova,1.0246121755867343,0.7360164104091651,1.3132079407643034,8393.0,70.0,4112.0,4281.0,2516.0,1596.0,1824.0,2457.0,0.14795039949217584,0.2010150825440529,0.2006237902636897,0.15277381748615088,10,52
Emma Raducanu,1.0245872258398865,0.7353801922952942,1.313794259384479,8568.0,68.0,4214.0,4354.0,2455.0,1759.0,1887.0,2467.0,0.14985751244513654,0.20378236185203205,0.20540716145490812,0.15634652076432629,31,53
Alycia Parks,1.0245427159339198,0.7548402453098065,1.294245186558033,2805.0,22.0,1402.0,1403.0,751.0,651.0,569.0,834.0,0.1542207739323617,0.20430915666011606,0.19701518260986497,0.1522240025738979,76,54
Peyton Stearns,1.0229962071867469,0.7271028896113582,1.3188895247621357,2219.0,15.0,1137.0,1082.0,615.0,522.0,474.0,608.0,0.14933050133743092,0.20537740046288247,0.198925302311945,0.15082787343225093,61,55
Tereza Valentova,1.0200499566828283,0.7254156061191847,1.314684307246472,1807.0,13.0,889.0,918.0,521.0,368.0,412.0,506.0,0.1517391398251109,0.20917545548390146,0.20593169628434696,0.15663965497211924,60,56
Magdalena Frech,1.0176378158890427,0.7187579063136873,1.3165177254643978,3001.0,21.0,1473.0,1528.0,835.0,638.0,634.0,894.0,0.1487872216552062,0.20700603130516526,0.20010353701526093,0.1519945634949009,43,57
Taylor Townsend,1.0154464897414783,0.7377894926054122,1.2931034868775446,1210.0,15.0,596.0,614.0,370.0,226.0,267.0,347.0,0.1509202841264792,0.2045573780042908,0.20365619800770773,0.15749412175778452,78,58
Barbora Krejcikova,1.0143970392693815,0.733834138398946,1.294959940139817,3847.0,28.0,1894.0,1953.0,1138.0,756.0,802.0,1151.0,0.14719682183839533,0.20058595551243266,0.19821657871548937,0.1530677301832888,38,59
Emma Navarro,1.013154688326794,0.7308344465095965,1.2954749301439912,3435.0,30.0,1709.0,1726.0,961.0,748.0,745.0,981.0,0.14766391504151435,0.20204837873576528,0.19545914960102215,0.15087837290629544,25,60
Varvara Gracheva,1.012504300293334,0.7332663689341206,1.2917422316525475,1971.0,15.0,1008.0,963.0,513.0,495.0,419.0,544.0,0.15495033488895216,0.21131520747936208,0.20288761849484857,0.15706509667589874,69,61
Anhelina Kalinina,1.0107966113106113,0.7397147913321175,1.281878431289105,2569.0,19.0,1227.0,1342.0,652.0,575.0,581.0,761.0,0.15302811167635005,0.20687447847401963,0.2040987770539607,0.15921851251425717,68,62
Cristina Bucsa,1.0085399269092483,0.7004483085864465,1.3166315452320503,1486.0,13.0,711.0,775.0,399.0,312.0,326.0,449.0,0.14558939548010427,0.2078517339472399,0.20088169680050322,0.15257244711169268,35,63
Elisabetta Cocciaretto,1.0083999130606138,0.6910417269403377,1.32575809918089,1322.0,10.0,655.0,667.0,384.0,271.0,283.0,384.0,0.1453214820522442,0.21029335333435054,0.1984004656753896,0.14965057788292593,44,64
Anna Bondar,0.9991927230865547,0.727532088131971,1.2708533580411385,2152.0,18.0,1042.0,1110.0,621.0,421.0,462.0,648.0,0.1496464693135649,0.20569054170215473,0.19807617642864764,0.15586076487530967,71,65
