player,EDGE,positive_EDGE,negative_EDGE,points,matches,coverage,eventRate,ace_edge,double_fault_edge,forced_return_error_drawn_edge,unforced_return_error_edge,return_winner_edge,winner_edge,forced_error_drawn_edge,unforced_error_edge,ace_count,double_fault_count,forced_return_error_drawn_count,unforced_return_error_count,return_winner_count,winner_count,forced_error_drawn_count,unforced_error_count,wta_rank
Maria Sakkari,0.013534677560530783,0.05032957863535054,-0.036794901074819766,7470.0,53.0,0.9963855421686747,0.5046854082998661,0.00391611872023303,-0.0043632992044496275,0.011392698454259036,-0.002888511108354081,0.0012261349067263715,0.019152739867192365,0.014641886686939744,-0.029543090762016055,204.0,167.0,575.0,145.0,48.0,829.0,606.0,1196.0,49
Jessica Bouzas Maneiro,0.010067580881979149,0.048956952843583736,-0.03888937196160459,987.0,8.0,0.9989868287740629,0.502532928064843,0.0014528779446600281,-0.007909735557999798,0.011096702086331544,-0.002563057860111692,0.0011599832514242647,0.01696100424990365,0.018286385311264242,-0.028416578543493092,10.0,40.0,74.0,17.0,6.0,97.0,100.0,152.0,50
Petra Marcinko,0.0010772886269972879,0.04655174765938484,-0.04547445903238755,185.0,1.0,1.0,0.5297297297297298,0.0015502600339237275,-0.0031649631063834327,0.012800520039981575,-0.0024131047134469696,0.0010314445668069814,0.022389092709485522,0.00878043030918704,-0.039896391212557156,2.0,3.0,16.0,3.0,1.0,24.0,9.0,40.0,51
Maya Joint,0.002338919266764677,0.04313235666784718,-0.0407934374010825,2208.0,18.0,0.9990942028985508,0.478713768115942,0.0016236305835365128,-0.004066098435284271,0.008177868469836508,-0.0029653792825269226,0.0019012587803009123,0.016961241825601908,0.014468357008571337,-0.03376195968327131,25.0,46.0,122.0,44.0,22.0,217.0,177.0,404.0,52
Daria Kasatkina,0.006434119645607337,0.04111264921706927,-0.03467852957146193,6297.0,44.0,0.9988883595362871,0.4329045577259012,0.001730717490627887,-0.006353884167571419,0.007850406277497831,-0.002245001076641284,0.0011515094973246116,0.017567959338801155,0.012812056612817785,-0.02607964432724923,76.0,205.0,334.0,95.0,38.0,641.0,447.0,890.0,53
Tatjana Maria,0.022851982364363567,0.04596563224742281,-0.023113649883059247,2258.0,14.0,0.9884853852967228,0.40522586359610274,0.0043184834425953255,-0.0036303164063476927,0.011143056777497246,-0.0022406892010010983,0.0007605647492177254,0.015515618111616638,0.014227909166495878,-0.01724264427571046,68.0,42.0,170.0,34.0,9.0,203.0,178.0,211.0,54
Yuliia Starodubtseva,-0.012592243139809419,0.033244050925734514,-0.04583629406554393,385.0,3.0,1.0,0.45194805194805193,0.0007449301461711418,-0.0030416528554853767,0.00807305525248838,-0.005411204508941689,0.0024781460371336565,0.01210319459782253,0.009844724892118803,-0.037383436701116865,2.0,6.0,21.0,14.0,5.0,27.0,21.0,78.0,55
Qinwen Zheng,0.024013790315714,0.05835329117837286,-0.03433950086265886,6655.0,48.0,0.9986476333583771,0.5382419233658903,0.0066797455255842055,-0.006334681980019132,0.011586947070375884,-0.0021913142226292794,0.002408512181544777,0.019371779783291708,0.018306306617576287,-0.02581350466001045,310.0,216.0,521.0,98.0,84.0,747.0,675.0,931.0,56
Anna Bondar,0.018282669355133344,0.049058882290010375,-0.030776212934877027,2153.0,16.0,0.9995355318160706,0.46400371574547145,0.004262675058443319,-0.0029915001957688276,0.011411517952503314,-0.0020734991731894536,0.001683942244461932,0.016192142641149442,0.015508604393452365,-0.025711213565918746,64.0,33.0,166.0,30.0,19.0,202.0,185.0,300.0,57
Talia Gibson,0.02760963211753767,0.06351016515175753,-0.03590053303421986,2150.0,16.0,0.9995348837209302,0.5762790697674418,0.006269539997658982,-0.004538900578921977,0.011083240970664281,-0.002353244751563014,0.003550088276451936,0.02648942073476921,0.016117875172213112,-0.029008387703734873,94.0,50.0,161.0,34.0,40.0,330.0,192.0,338.0,58
