bootstrap_iteration,valid_players,rank_correlation_with_original,top_10_overlap_count,top_10_overlap_rate,top_20_overlap_count,top_20_overlap_rate
162,59,0.9126826417299827,8,0.8,18,0.9
163,59,0.8962594973699591,6,0.6,18,0.9
164,59,0.8940385739333724,6,0.6,15,0.75
165,59,0.8843366452367037,6,0.6,16,0.8
166,59,0.8803039158386908,8,0.8,17,0.85
167,59,0.9258328462887201,6,0.6,17,0.85
168,59,0.8769725306838108,6,0.6,17,0.85
169,59,0.9258912916423144,7,0.7,17,0.85
170,59,0.8767971946230276,7,0.7,16,0.8
171,59,0.9098772647574518,8,0.8,17,0.85
172,59,0.9108708357685565,8,0.8,17,0.85
173,59,0.8925774400935128,7,0.7,17,0.85
174,59,0.8594973699590883,7,0.7,14,0.7
175,59,0.9336645236703682,8,0.8,18,0.9
176,59,0.8426066627703098,5,0.5,16,0.8
177,59,0.8978959672706021,5,0.5,16,0.8
178,59,0.906721215663355,8,0.8,18,0.9
179,59,0.8884278199883111,7,0.7,17,0.85
180,59,0.8966686148451201,7,0.7,18,0.9
181,59,0.9151957919345414,7,0.7,17,0.85
182,59,0.9054938632378726,7,0.7,15,0.75
183,59,0.90479251899474,7,0.7,16,0.8
184,59,0.9104032729398014,9,0.9,17,0.85
185,59,0.9148451198129749,7,0.7,17,0.85
186,59,0.8767387492694332,6,0.6,17,0.85
187,59,0.803272939801286,6,0.6,14,0.7
188,59,0.9306253652834602,8,0.8,18,0.9
189,59,0.8717124488603156,6,0.6,16,0.8
190,59,0.8809468147282292,7,0.7,14,0.7
191,59,0.8931618936294566,6,0.6,18,0.9
192,59,0.8851548801870252,8,0.8,17,0.85
193,59,0.9295733489187611,8,0.8,16,0.8
194,59,0.9382232612507307,9,0.9,18,0.9
195,59,0.9150204558737581,6,0.6,18,0.9
196,59,0.925073056691993,7,0.7,18,0.9
197,59,0.8661016949152543,6,0.6,17,0.85
198,59,0.9238457042665109,7,0.7,17,0.85
199,59,0.9210403272939802,6,0.6,16,0.8
200,59,0.9061952074810055,7,0.7,17,0.85
201,59,0.9051431911163065,9,0.9,17,0.85
202,59,0.8657510227936881,7,0.7,17,0.85
203,59,0.8746347165400352,7,0.7,15,0.75
204,59,0.8707188778492111,8,0.8,15,0.75
205,59,0.9130333138515491,7,0.7,15,0.75
206,59,0.9007597895967272,7,0.7,17,0.85
207,59,0.8959672706019873,8,0.8,17,0.85
208,59,0.9066627703097605,7,0.7,17,0.85
209,59,0.8985388661601406,8,0.8,16,0.8
210,59,0.8382817066043251,8,0.8,17,0.85
211,59,0.8737580362361194,8,0.8,15,0.75
212,59,0.9073056691992988,8,0.8,18,0.9
213,59,0.9109877264757453,9,0.9,14,0.7
214,59,0.9074225599064876,7,0.7,18,0.9
215,59,0.8357685563997663,6,0.6,14,0.7
216,59,0.7987142022209235,6,0.6,14,0.7
217,59,0.921449444769141,7,0.7,17,0.85
218,59,0.9160140268848628,6,0.6,17,0.85
219,59,0.8986557568673293,7,0.7,18,0.9
220,59,0.8774985388661601,8,0.8,17,0.85
221,59,0.9045002922267682,8,0.8,17,0.85
222,59,0.9181765049678552,7,0.7,18,0.9
223,59,0.9015780245470486,8,0.8,17,0.85
224,59,0.8752776154295735,6,0.6,15,0.75
225,59,0.8669199298655759,6,0.6,16,0.8
226,59,0.8448275862068967,7,0.7,15,0.75
227,59,0.9184687317358271,5,0.5,18,0.9
228,59,0.9083576855639979,8,0.8,16,0.8
229,59,0.8947983635300996,6,0.6,17,0.85
