player,wta_rank,original_matches,original_edge,original_edge_rank,bootstrap_edge_mean,bootstrap_edge_median,bootstrap_edge_bias,bootstrap_edge_se,edge_ci_lower,edge_ci_upper,edge_ci_width,bootstrap_rank_median,rank_ci_lower,rank_ci_upper,rank_ci_width,probability_top_10_given_valid,probability_top_20_given_valid,probability_top_10_unconditional,probability_top_20_unconditional,valid_edge_replicates,valid_rank_replicates,availability_rate
Elise Mertens,21,33,0.014142586898144646,42.0,0.014178969220574853,0.01416843071511335,3.638232243020727e-05,0.0025522155627865227,0.009160107805741753,0.019385243075873585,0.010225135270131832,41.0,24.0,52.0,28.0,0.0002,0.009,0.0002,0.009,5000,5000,1.0
Leylah Fernandez,22,44,0.024310588393788777,7.0,0.0242596048593553,0.024248894184203312,-5.098353443347761e-05,0.002098045592984609,0.02008650193521382,0.02840052118043583,0.008314019245222012,10.0,4.0,22.0,18.0,0.5102,0.9572,0.5102,0.9572,5000,5000,1.0
Diana Shnaider,23,27,0.01626202827359142,33.0,0.01624056624031483,0.016324128691582816,-2.1462033276593157e-05,0.0028529974850977037,0.01047427827324436,0.021785306828553893,0.011311028555309533,34.0,17.0,50.0,33.0,0.0016,0.062,0.0016,0.062,5000,5000,1.0
Anna Kalinskaya,24,36,0.021302741810535798,18.0,0.021286600416925917,0.021276363867717002,-1.6141393609881566e-05,0.002990804925850646,0.01540832111449201,0.027226439823214123,0.011818118708722113,19.0,5.0,37.0,32.0,0.15,0.5956,0.15,0.5956,5000,5000,1.0
Emma Navarro,25,29,0.015685591487019514,35.0,0.015673744352311923,0.015670825780888367,-1.1847134707591161e-05,0.0038206719598930412,0.008319920855127916,0.023156102011369986,0.01483618115624207,36.0,13.0,53.0,40.0,0.0136,0.1006,0.0136,0.1006,5000,5000,1.0
Liudmila Samsonova,27,41,0.0224515647394554,14.0,0.02248676766890734,0.022472709009250365,3.520292945194056e-05,0.003390413279629278,0.015909033675990395,0.029113034752715483,0.013204001076725088,15.0,4.0,35.0,31.0,0.2946,0.7192,0.2946,0.7192,5000,5000,1.0
Marie Bouzkova,28,35,0.012066542435046967,49.0,0.012062380070186713,0.012099472866063245,-4.162364860253384e-06,0.002511503245638283,0.007020052839502548,0.01686562983090927,0.00984557699140672,46.0,32.0,54.0,22.0,0.0,0.0012,0.0,0.0012,5000,5000,1.0
Anastasia Potapova,30,29,0.012163797046979792,48.0,0.012050473950971564,0.011973564763255685,-0.00011332309600822765,0.0036260523699362833,0.004890958009510976,0.019121063807772835,0.01423010579826186,47.0,24.0,56.0,32.0,0.0004,0.0104,0.0004,0.0104,5000,5000,1.0
Jelena Ostapenko,31,31,0.02369892126478787,11.0,0.023680792751380846,0.02357886173804117,-1.8128513407024427e-05,0.0028648750124584295,0.01824349488495649,0.029454558380780656,0.011211063495824167,12.0,3.0,28.0,25.0,0.4158,0.8676,0.4158,0.8676,5000,5000,1.0
Jaqueline Cristian,32,18,0.004253824389481391,58.0,0.0042687852021698865,0.004274634005634224,1.4960812688495119e-05,0.003405948577502638,-0.0024224403263911802,0.010936453539788572,0.013358893866179753,57.0,48.0,59.0,11.0,0.0,0.0,0.0,0.0,5000,5000,1.0
Xin Yu Wang,34,18,0.018290760252916118,27.0,0.01828691091111901,0.018298488507974157,-3.849341797108191e-06,0.003162665718441918,0.011985223061533176,0.024456167747413347,0.012470944685880172,28.0,10.0,47.0,37.0,0.0316,0.2276,0.0316,0.2276,5000,5000,1.0
Katerina Siniakova,36,21,0.007376444618344134,54.0,0.007332914196732049,0.007305572752474959,-4.353042161208461e-05,0.004374094851213813,-0.0011906178864716079,0.01594141212236122,0.01713203000883283,54.0,35.0,59.0,24.0,0.0002,0.0026,0.0002,0.0026,5000,5000,1.0
Alexandra Eala,37,20,0.024861274898367834,6.0,0.02487734664825022,0.024813720324859026,1.60717498823848e-05,0.005162107888537734,0.014834887379505004,0.03528108618318208,0.020446198803677075,9.0,1.0,38.0,37.0,0.5504,0.802,0.5504,0.802,5000,5000,1.0
Emma Raducanu,39,66,0.018579496220941127,25.0,0.018546608877365138,0.018577694956707087,-3.288734357598938e-05,0.002383546108025064,0.013851464562120462,0.02331982303101546,0.009468358468894999,27.0,13.0,42.0,29.0,0.0108,0.201,0.0108,0.201,5000,5000,1.0
Barbora Krejcikova,41,27,0.0143346552793311,41.0,0.014457836473146989,0.014403847666181479,0.00012318119381588867,0.003415547951102267,0.007785063597612499,0.021254800868767208,0.013469737271154709,40.0,19.0,53.0,34.0,0.0036,0.038,0.0036,0.038,5000,5000,1.0
Marketa Vondrousova,44,32,0.014543422032138525,38.0,0.014552491583014922,0.014506715715736132,9.06955087639702e-06,0.0027492062457342035,0.009178528024279924,0.02018268429742768,0.011004156273147755,40.0,22.0,51.0,29.0,0.0004,0.02,0.0004,0.02,5000,5000,1.0
Dayana Yastremska,45,16,0.00828822363055065,53.0,0.008319378573350283,0.008426343287839949,3.115494279963202e-05,0.004410183011122737,-0.0005719582040030629,0.016841487690019384,0.017413445894022446,52.0,32.0,59.0,27.0,0.0,0.0044,0.0,0.0044,5000,5000,1.0
Magdalena Frech,46,21,0.015034380984488498,36.0,0.015023971357047054,0.01501192558375889,-1.0409627441443706e-05,0.002958911580971552,0.009360515558427589,0.020870514291346193,0.011509998732918605,38.0,19.0,52.0,33.0,0.001,0.035,0.001,0.035,5000,5000,1.0
Maria Sakkari,49,53,0.013534677560530783,47.0,0.013504194256613578,0.013528504009864847,-3.048330391720519e-05,0.00214582239751491,0.009127256623870686,0.017633011837624123,0.008505755213753437,43.0,29.0,52.0,23.0,0.0,0.0008,0.0,0.0008,5000,5000,1.0
Maya Joint,52,18,0.002338919266764677,59.0,0.002171084673187131,0.002245434896058246,-0.000167834593577546,0.0038488881285020206,-0.005420965294026456,0.009553698498562692,0.014974663792589148,58.0,51.0,59.0,8.0,0.0,0.0,0.0,0.0,5000,5000,1.0
Daria Kasatkina,53,44,0.006434119645607337,56.0,0.00644968589760337,0.006404892169076868,1.556625199603326e-05,0.002214457137483925,0.0020857574832366917,0.010904244425994417,0.008818486942757726,55.0,49.0,59.0,10.0,0.0,0.0,0.0,0.0,5000,5000,1.0
Qinwen Zheng,56,48,0.024013790315714,9.0,0.02404102766407031,0.02407553717925293,2.7237348356308477e-05,0.0029902820683255283,0.01797331827769746,0.029842558009140558,0.011869239731443097,11.0,3.0,28.0,25.0,0.4756,0.8778,0.4756,0.8778,5000,5000,1.0
Anna Bondar,57,16,0.018282669355133344,28.0,0.018332937098865746,0.018184534264563568,5.0267743732401726e-05,0.002843871248375484,0.013280958840591685,0.024369945002746612,0.011088986162154927,28.0,10.0,44.0,34.0,0.0266,0.2126,0.0266,0.2126,5000,5000,1.0
Talia Gibson,58,16,0.02760963211753767,4.0,0.02762073043133447,0.027628808351706183,1.1098313796802095e-05,0.00309947713355326,0.02152738425513442,0.033724918809508286,0.012197534554373866,5.0,1.0,17.024999999999636,16.024999999999636,0.8662,0.989,0.8662,0.989,5000,5000,1.0
Anhelina Kalinina,60,18,0.011126872990311329,50.0,0.010900237798868059,0.010969107216501827,-0.0002266351914432703,0.004444073619329359,0.0018454139801744617,0.019268892639293544,0.01742347865911908,49.0,25.0,58.0,33.0,0.002,0.0116,0.002,0.0116,5000,5000,1.0
Shuai Zhang,61,15,0.013577036365267674,46.0,0.01359673822459446,0.013658122625606681,1.9701859326785517e-05,0.005652906327249524,0.0026317619751993716,0.02485249807188909,0.022220736096689717,42.0,9.0,58.0,49.0,0.0292,0.0976,0.0292,0.0976,5000,5000,1.0
Solana Sierra,68,15,0.021783870475901974,16.0,0.0214943295386553,0.02180657901935485,-0.00028954093724667396,0.005843034661079506,0.009122405032238509,0.03198251768803046,0.02286011265579195,17.0,2.0,51.0,49.0,0.3232,0.5938,0.3232,0.5938,5000,5000,1.0
Varvara Gracheva,70,15,0.00877856691622082,52.0,0.008630910833066897,0.008662516070181179,-0.00014765608315392247,0.00522133835663476,-0.0017682933548290836,0.018712741562804416,0.0204810349176335,52.0,26.0,59.0,33.0,0.0022,0.0118,0.0022,0.0118,5000,5000,1.0
Katie Boulter,71,18,0.02016341122263203,22.0,0.02020807957890068,0.020052599400930498,4.466835626865118e-05,0.005018949001331995,0.010643623472498217,0.03049980056358986,0.019856177091091644,22.0,2.0,49.0,47.0,0.1998,0.464,0.1998,0.464,5000,5000,1.0
Donna Vekic,72,33,0.017890031714520707,29.0,0.017813198400107866,0.017840110373776953,-7.683331441284136e-05,0.002627636070584345,0.012605295542468288,0.022834276903892278,0.01022898136142399,29.0,14.0,45.0,31.0,0.0072,0.143,0.0072,0.143,5000,5000,1.0
Magda Linette,73,58,0.023267591394880088,12.0,0.023259877428352057,0.02329199323321004,-7.713966528030691e-06,0.002061940557979487,0.019151616306922425,0.027171562403113827,0.008019946096191402,13.0,5.0,25.0,20.0,0.3286,0.8992,0.3286,0.8992,5000,5000,1.0
Yulia Putintseva,76,19,0.014413115379927732,40.0,0.014484505490223119,0.014369842514681725,7.139011029538671e-05,0.003277022012454579,0.008129611197207134,0.021126890016590703,0.012997278819383569,40.0,19.0,53.0,34.0,0.0032,0.0334,0.0032,0.0334,5000,5000,1.0
Peyton Stearns,78,15,0.016484414383337934,32.0,0.01644548137121389,0.016424623913845263,-3.8933012124042765e-05,0.0029832474297231664,0.01069927436628835,0.02250751693594678,0.01180824256965843,34.0,15.0,49.0,34.0,0.0086,0.0792,0.0086,0.0792,5000,5000,1.0
Alycia Parks,79,22,0.006938307480808274,55.0,0.006897543340513049,0.007002402815394732,-4.076414029522465e-05,0.0046555685853899775,-0.002805638254934716,0.01562519600287626,0.018430834257810974,54.0,37.0,59.0,22.0,0.0,0.0008,0.0,0.0008,5000,5000,1.0
Eva Lys,81,18,0.006199285185914517,57.0,0.006186349070145199,0.006148756932547858,-1.2936115769317594e-05,0.0028890076667119524,0.00043316552657494316,0.012028560486578688,0.011595394960003745,55.0,46.0,59.0,13.0,0.0,0.0,0.0,0.0,5000,5000,1.0
Veronika Kudermetova,85,29,0.014762207362338537,37.0,0.014760882237220977,0.014689727111339316,-1.3251251175603468e-06,0.0036847922429274686,0.007565853560369125,0.022345116766058867,0.014779263205689742,39.0,15.0,53.0,38.0,0.0082,0.0558,0.0082,0.0558,5000,5000,1.0
Camila Osorio,86,19,0.008830765485290456,51.0,0.008793728248638838,0.00874870405380828,-3.703723665161862e-05,0.002563955853828728,0.0037081585858792384,0.013933621356794499,0.01022546277091526,52.0,41.0,57.0,16.0,0.0,0.0,0.0,0.0,5000,5000,1.0
Sofia Kenin,87,51,0.02384994896112812,10.0,0.023808851594486292,0.023799796248188336,-4.1097366641828365e-05,0.0024957259133600715,0.018781195065758437,0.028530019765194977,0.00974882469943654,12.0,4.0,26.0,22.0,0.4368,0.9044,0.4368,0.9044,5000,5000,1.0
Ajla Tomljanovic,100,15,0.01376561365120334,45.0,0.013617090687889945,0.01376627270616136,-0.00014852296331339596,0.003574463239427889,0.0060684122880224145,0.020246091622986163,0.01417767933496375,42.0,21.0,55.0,34.0,0.0016,0.0206,0.0016,0.0206,5000,5000,1.0
